"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"10/1/2025","11.7ʡC","6.0ʡC","-1.0ʡC","4.7ʡC","2.0ʡC","-2.0ʡC","94ʡ%","77ʡ%","56ʡ%","--","--","--","1,011.17ʡhPa","1,008.87ʡhPa","--"
"10/2/2025","12.4ʡC","7.9ʡC","2.0ʡC","4.8ʡC","3.6ʡC","0.8ʡC","93ʡ%","75ʡ%","59ʡ%","--","--","--","1,008.82ʡhPa","1,002.02ʡhPa","--"
"10/3/2025","12.2ʡC","8.7ʡC","5.8ʡC","5.4ʡC","4.5ʡC","3.0ʡC","87ʡ%","76ʡ%","59ʡ%","--","--","--","1,002.07ʡhPa","994.21ʡhPa","--"
"10/4/2025","9.7ʡC","8.2ʡC","6.9ʡC","5.9ʡC","5.0ʡC","3.5ʡC","91ʡ%","81ʡ%","66ʡ%","--","--","--","994.06ʡhPa","972.66ʡhPa","--"
"10/5/2025","10.9ʡC","8.5ʡC","6.9ʡC","9.6ʡC","7.3ʡC","5.2ʡC","96ʡ%","92ʡ%","89ʡ%","--","--","--","978.76ʡhPa","968.46ʡhPa","--"
"10/6/2025","13.3ʡC","8.0ʡC","5.6ʡC","8.9ʡC","6.7ʡC","5.0ʡC","97ʡ%","92ʡ%","65ʡ%","--","--","--","991.06ʡhPa","978.86ʡhPa","--"
"10/7/2025","10.7ʡC","8.7ʡC","6.5ʡC","9.0ʡC","7.2ʡC","5.3ʡC","96ʡ%","90ʡ%","82ʡ%","--","--","--","991.06ʡhPa","985.06ʡhPa","--"
"10/8/2025","10.7ʡC","7.8ʡC","0.9ʡC","9.4ʡC","6.6ʡC","0.3ʡC","96ʡ%","92ʡ%","79ʡ%","--","--","--","987.36ʡhPa","984.41ʡhPa","--"
"10/9/2025","9.5ʡC","4.0ʡC","-0.5ʡC","6.6ʡC","2.6ʡC","-1.0ʡC","97ʡ%","91ʡ%","77ʡ%","--","--","--","987.21ʡhPa","977.76ʡhPa","--"
"10/10/2025","10.0ʡC","5.0ʡC","0.2ʡC","5.7ʡC","2.6ʡC","-0.5ʡC","96ʡ%","85ʡ%","69ʡ%","--","--","--","984.86ʡhPa","977.66ʡhPa","--"
"10/11/2025","10.0ʡC","7.1ʡC","5.1ʡC","4.3ʡC","2.0ʡC","0.9ʡC","83ʡ%","71ʡ%","58ʡ%","--","--","--","990.56ʡhPa","978.76ʡhPa","--"
"10/12/2025","9.5ʡC","5.7ʡC","2.8ʡC","2.9ʡC","1.3ʡC","-0.2ʡC","84ʡ%","74ʡ%","61ʡ%","--","--","--","1,000.36ʡhPa","989.21ʡhPa","--"
"10/14/2025","8.3ʡC","5.0ʡC","2.2ʡC","5.6ʡC","3.8ʡC","1.5ʡC","96ʡ%","92ʡ%","79ʡ%","--","--","--","998.71ʡhPa","994.46ʡhPa","--"
"10/15/2025","11.7ʡC","8.5ʡC","3.9ʡC","6.2ʡC","5.2ʡC","3.2ʡC","96ʡ%","81ʡ%","67ʡ%","--","--","--","994.31ʡhPa","983.56ʡhPa","--"
"10/20/2025","6.8ʡC","2.7ʡC","-0.8ʡC","2.8ʡC","0.4ʡC","-1.8ʡC","94ʡ%","85ʡ%","66ʡ%","--","--","--","987.91ʡhPa","981.96ʡhPa","--"
"10/21/2025","7.4ʡC","4.5ʡC","1.0ʡC","6.2ʡC","2.5ʡC","-0.5ʡC","92ʡ%","87ʡ%","80ʡ%","--","--","--","981.81ʡhPa","975.86ʡhPa","--"
"10/22/2025","9.4ʡC","8.3ʡC","7.2ʡC","8.3ʡC","7.1ʡC","6.0ʡC","94ʡ%","93ʡ%","91ʡ%","--","--","--","975.76ʡhPa","973.26ʡhPa","--"
"10/23/2025","10.7ʡC","9.3ʡC","8.1ʡC","8.5ʡC","8.0ʡC","7.1ʡC","95ʡ%","91ʡ%","84ʡ%","--","--","--","975.96ʡhPa","973.41ʡhPa","--"
"10/24/2025","8.6ʡC","7.4ʡC","5.6ʡC","7.6ʡC","6.4ʡC","4.7ʡC","95ʡ%","93ʡ%","88ʡ%","--","--","--","976.26ʡhPa","974.71ʡhPa","--"
"10/25/2025","7.4ʡC","6.6ʡC","5.6ʡC","5.9ʡC","5.5ʡC","4.7ʡC","94ʡ%","92ʡ%","90ʡ%","--","--","--","974.71ʡhPa","969.21ʡhPa","--"
"10/26/2025","9.7ʡC","7.5ʡC","5.1ʡC","8.4ʡC","6.5ʡC","4.4ʡC","96ʡ%","94ʡ%","91ʡ%","--","--","--","969.21ʡhPa","961.66ʡhPa","--"
"10/27/2025","5.8ʡC","4.7ʡC","3.7ʡC","4.7ʡC","4.0ʡC","3.1ʡC","96ʡ%","95ʡ%","91ʡ%","--","--","--","963.26ʡhPa","960.11ʡhPa","--"
"10/28/2025","5.9ʡC","4.7ʡC","3.8ʡC","4.8ʡC","4.1ʡC","3.1ʡC","97ʡ%","95ʡ%","91ʡ%","--","--","--","969.36ʡhPa","963.31ʡhPa","--"
"10/29/2025","4.4ʡC","2.8ʡC","1.2ʡC","3.9ʡC","2.1ʡC","0.5ʡC","97ʡ%","95ʡ%","90ʡ%","--","--","--","977.56ʡhPa","969.46ʡhPa","--"
"10/30/2025","4.4ʡC","2.8ʡC","1.5ʡC","3.6ʡC","2.1ʡC","1.0ʡC","97ʡ%","95ʡ%","92ʡ%","--","--","--","983.21ʡhPa","977.51ʡhPa","--"
"10/31/2025","3.5ʡC","3.2ʡC","2.3ʡC","2.4ʡC","2.0ʡC","0.8ʡC","95ʡ%","92ʡ%","88ʡ%","--","--","--","993.06ʡhPa","983.31ʡhPa","--"
