"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"7/1/2025","22.2ʡC","14.2ʡC","5.2ʡC","15.6ʡC","9.7ʡC","4.5ʡC","96ʡ%","76ʡ%","54ʡ%","--","--","--","993.46ʡhPa","987.21ʡhPa","--"
"7/2/2025","17.1ʡC","12.1ʡC","8.4ʡC","10.9ʡC","8.3ʡC","7.0ʡC","95ʡ%","78ʡ%","59ʡ%","--","--","--","993.41ʡhPa","989.46ʡhPa","--"
"7/3/2025","12.1ʡC","10.2ʡC","7.6ʡC","11.0ʡC","8.9ʡC","6.0ʡC","97ʡ%","92ʡ%","80ʡ%","--","--","--","989.31ʡhPa","982.96ʡhPa","--"
"7/4/2025","15.9ʡC","11.4ʡC","6.5ʡC","8.0ʡC","5.1ʡC","3.4ʡC","94ʡ%","67ʡ%","45ʡ%","--","--","--","990.36ʡhPa","987.26ʡhPa","--"
"7/5/2025","17.5ʡC","11.9ʡC","2.5ʡC","10.2ʡC","7.2ʡC","2.0ʡC","97ʡ%","75ʡ%","50ʡ%","--","--","--","987.51ʡhPa","980.81ʡhPa","--"
"7/6/2025","12.7ʡC","11.6ʡC","10.6ʡC","11.2ʡC","10.1ʡC","9.1ʡC","95ʡ%","91ʡ%","86ʡ%","--","--","--","980.81ʡhPa","978.01ʡhPa","--"
"7/7/2025","18.7ʡC","13.4ʡC","10.0ʡC","11.6ʡC","9.2ʡC","6.9ʡC","96ʡ%","77ʡ%","46ʡ%","--","--","--","981.61ʡhPa","978.11ʡhPa","--"
"7/8/2025","20.3ʡC","14.2ʡC","6.0ʡC","11.0ʡC","7.7ʡC","3.3ʡC","97ʡ%","69ʡ%","33ʡ%","--","--","--","986.46ʡhPa","981.61ʡhPa","--"
"7/9/2025","21.7ʡC","14.8ʡC","5.2ʡC","10.8ʡC","7.1ʡC","4.4ʡC","95ʡ%","64ʡ%","34ʡ%","--","--","--","993.41ʡhPa","986.51ʡhPa","--"
"7/10/2025","22.9ʡC","15.5ʡC","6.0ʡC","12.5ʡC","9.1ʡC","5.2ʡC","95ʡ%","69ʡ%","42ʡ%","--","--","--","997.76ʡhPa","993.51ʡhPa","--"
"7/11/2025","23.9ʡC","16.2ʡC","5.2ʡC","13.8ʡC","10.0ʡC","4.5ʡC","96ʡ%","70ʡ%","44ʡ%","--","--","--","999.56ʡhPa","997.81ʡhPa","--"
