"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"12/1/2024","7.5ʡC","3.9ʡC","1.7ʡC","5.9ʡC","3.2ʡC","1.6ʡC","100ʡ%","96ʡ%","87ʡ%","--","--","--","991.36ʡhPa","979.71ʡhPa","--"
"12/2/2024","7.8ʡC","2.7ʡC","-2.8ʡC","5.9ʡC","-0.4ʡC","-5.9ʡC","97ʡ%","81ʡ%","61ʡ%","--","--","--","991.21ʡhPa","977.31ʡhPa","--"
"12/3/2024","-2.8ʡC","-6.1ʡC","-9.9ʡC","-6.0ʡC","-8.2ʡC","-10.4ʡC","97ʡ%","85ʡ%","77ʡ%","--","--","--","1,008.42ʡhPa","991.36ʡhPa","--"
"12/4/2024","-8.2ʡC","-12.1ʡC","-13.9ʡC","-9.0ʡC","-12.9ʡC","-15.0ʡC","97ʡ%","94ʡ%","91ʡ%","--","--","--","1,013.22ʡhPa","1,008.62ʡhPa","--"
"12/5/2024","-3.5ʡC","-6.4ʡC","-10.0ʡC","-5.3ʡC","-7.7ʡC","-10.8ʡC","96ʡ%","91ʡ%","83ʡ%","--","--","--","1,009.27ʡhPa","996.01ʡhPa","--"
"12/6/2024","1.1ʡC","-2.3ʡC","-9.1ʡC","-0.8ʡC","-3.4ʡC","-9.8ʡC","98ʡ%","92ʡ%","84ʡ%","--","--","--","995.96ʡhPa","993.36ʡhPa","--"
"12/7/2024","1.4ʡC","-0.1ʡC","-1.3ʡC","-1.1ʡC","-1.9ʡC","-2.5ʡC","92ʡ%","87ʡ%","79ʡ%","--","--","--","1,000.76ʡhPa","993.61ʡhPa","--"
"12/8/2024","-1.1ʡC","-3.5ʡC","-7.1ʡC","-2.4ʡC","-4.2ʡC","-7.6ʡC","100ʡ%","95ʡ%","87ʡ%","--","--","--","1,017.02ʡhPa","1,000.76ʡhPa","--"
"12/9/2024","1.0ʡC","-4.9ʡC","-9.1ʡC","-2.6ʡC","-6.4ʡC","-9.6ʡC","98ʡ%","90ʡ%","72ʡ%","--","--","--","1,020.82ʡhPa","1,012.77ʡhPa","--"
"12/10/2024","5.1ʡC","2.9ʡC","0.1ʡC","1.7ʡC","0.0ʡC","-2.6ʡC","90ʡ%","81ʡ%","65ʡ%","--","--","--","1,012.67ʡhPa","1,004.22ʡhPa","--"
"12/11/2024","4.0ʡC","0.5ʡC","-2.8ʡC","-2.2ʡC","-4.5ʡC","-7.1ʡC","76ʡ%","69ʡ%","63ʡ%","--","--","--","1,010.27ʡhPa","1,005.32ʡhPa","--"
"12/12/2024","-1.5ʡC","-4.8ʡC","-8.8ʡC","-5.8ʡC","-7.9ʡC","-9.9ʡC","94ʡ%","79ʡ%","70ʡ%","--","--","--","1,013.52ʡhPa","1,008.27ʡhPa","--"
"12/13/2024","0.2ʡC","-3.6ʡC","-6.9ʡC","-0.2ʡC","-4.3ʡC","-8.9ʡC","99ʡ%","95ʡ%","83ʡ%","--","--","--","1,010.52ʡhPa","988.06ʡhPa","--"
