"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"11/1/2025","6.4ʡC","3.1ʡC","1.7ʡC","4.5ʡC","1.5ʡC","0.5ʡC","94ʡ%","89ʡ%","84ʡ%","--","--","--","993.66ʡhPa","984.31ʡhPa","--"
"11/2/2025","7.4ʡC","5.3ʡC","2.0ʡC","6.4ʡC","4.2ʡC","1.5ʡC","97ʡ%","93ʡ%","84ʡ%","--","--","--","984.16ʡhPa","978.31ʡhPa","--"
"11/3/2025","5.1ʡC","1.5ʡC","-0.6ʡC","3.3ʡC","0.8ʡC","-1.1ʡC","98ʡ%","95ʡ%","83ʡ%","--","--","--","981.31ʡhPa","979.01ʡhPa","--"
"11/4/2025","8.1ʡC","4.7ʡC","-0.9ʡC","6.9ʡC","3.7ʡC","-1.3ʡC","98ʡ%","94ʡ%","90ʡ%","--","--","--","980.81ʡhPa","976.01ʡhPa","--"
"11/5/2025","9.6ʡC","3.1ʡC","-0.4ʡC","7.4ʡC","2.4ʡC","-0.8ʡC","98ʡ%","95ʡ%","84ʡ%","--","--","--","984.61ʡhPa","980.31ʡhPa","--"
"11/6/2025","3.2ʡC","0.2ʡC","-1.3ʡC","2.9ʡC","-0.2ʡC","-1.6ʡC","98ʡ%","98ʡ%","97ʡ%","--","--","--","989.71ʡhPa","984.56ʡhPa","--"
"11/7/2025","2.4ʡC","1.1ʡC","-1.3ʡC","2.1ʡC","0.7ʡC","-1.6ʡC","98ʡ%","98ʡ%","97ʡ%","--","--","--","991.86ʡhPa","988.51ʡhPa","--"
"11/8/2025","5.7ʡC","4.1ʡC","2.5ʡC","5.3ʡC","3.6ʡC","2.1ʡC","98ʡ%","97ʡ%","94ʡ%","--","--","--","992.41ʡhPa","988.31ʡhPa","--"
"11/9/2025","5.4ʡC","2.2ʡC","-2.2ʡC","5.1ʡC","1.4ʡC","-2.8ʡC","98ʡ%","95ʡ%","84ʡ%","--","--","--","991.96ʡhPa","986.31ʡhPa","--"
"11/10/2025","0.8ʡC","-0.8ʡC","-2.1ʡC","0.2ʡC","-1.6ʡC","-3.5ʡC","96ʡ%","94ʡ%","87ʡ%","--","--","--","991.61ʡhPa","987.31ʡhPa","--"
"11/11/2025","1.7ʡC","0.6ʡC","0.2ʡC","1.3ʡC","0.2ʡC","-0.4ʡC","98ʡ%","97ʡ%","96ʡ%","--","--","--","987.26ʡhPa","984.41ʡhPa","--"
