"","Temperature","","","Dew Point","","","Humidity","","","Speed","","","Pressure","","Precip. Accum."
"Date","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Avg","Low","High","Low","Sum"
"11/1/2025","6.5ʡC","3.2ʡC","1.8ʡC","5.4ʡC","2.1ʡC","1.1ʡC","97ʡ%","93ʡ%","87ʡ%","--","--","--","993.01ʡhPa","983.21ʡhPa","--"
"11/2/2025","8.5ʡC","5.7ʡC","2.5ʡC","7.0ʡC","5.0ʡC","2.4ʡC","100ʡ%","95ʡ%","87ʡ%","--","--","--","983.16ʡhPa","977.31ʡhPa","--"
"11/3/2025","5.6ʡC","2.2ʡC","-0.6ʡC","4.1ʡC","1.7ʡC","-0.7ʡC","100ʡ%","97ʡ%","83ʡ%","--","--","--","980.81ʡhPa","978.51ʡhPa","--"
"11/4/2025","8.4ʡC","5.0ʡC","-0.1ʡC","7.9ʡC","4.5ʡC","-0.4ʡC","100ʡ%","97ʡ%","93ʡ%","--","--","--","980.31ʡhPa","974.91ʡhPa","--"
"11/5/2025","10.4ʡC","3.7ʡC","-0.4ʡC","7.9ʡC","3.3ʡC","-0.4ʡC","100ʡ%","97ʡ%","84ʡ%","--","--","--","984.01ʡhPa","979.66ʡhPa","--"
"11/6/2025","5.4ʡC","0.6ʡC","-1.4ʡC","4.5ʡC","0.5ʡC","-1.4ʡC","100ʡ%","100ʡ%","94ʡ%","--","--","--","989.26ʡhPa","983.96ʡhPa","--"
"11/7/2025","2.7ʡC","1.3ʡC","-1.3ʡC","2.7ʡC","1.3ʡC","-1.3ʡC","100ʡ%","100ʡ%","100ʡ%","--","--","--","991.16ʡhPa","987.96ʡhPa","--"
"11/8/2025","5.9ʡC","4.3ʡC","2.7ʡC","5.9ʡC","4.2ʡC","2.7ʡC","100ʡ%","99ʡ%","97ʡ%","--","--","--","991.61ʡhPa","987.36ʡhPa","--"
"11/9/2025","5.8ʡC","2.5ʡC","-2.0ʡC","5.7ʡC","2.1ʡC","-2.3ʡC","100ʡ%","97ʡ%","85ʡ%","--","--","--","991.66ʡhPa","985.41ʡhPa","--"
"11/10/2025","1.1ʡC","-0.6ʡC","-2.0ʡC","0.9ʡC","-1.1ʡC","-3.3ʡC","99ʡ%","97ʡ%","88ʡ%","--","--","--","991.31ʡhPa","986.76ʡhPa","--"
"11/11/2025","2.5ʡC","1.2ʡC","0.6ʡC","2.5ʡC","1.2ʡC","0.5ʡC","100ʡ%","100ʡ%","99ʡ%","--","--","--","986.66ʡhPa","983.71ʡhPa","--"
